OBJECTID,TRACT_FIPS,ASTHMA_ADJRATE,ASTHMA_L95CI,ASTHMA_U95CI,ASTHMA_STATEADJRATE,ASTHMA_SL95CI,ASTHMA_SU95CI,TRACT_NAME,COUNTY_NAME,ASTHMA_DISPLAY
816,08035014113,396.86,292.13,501.59,630.47,627.45,633.48,"Census Tract 141.13, Douglas County, Colorado",DOUGLAS,Lower Than State Average
817,08009964600,231.31,104.4,358.22,630.47,627.45,633.48,"Census Tract 9646, Baca County, Colorado",BACA,Lower Than State Average
818,08009964700,459.41,322.66,596.17,630.47,627.45,633.48,"Census Tract 9647, Baca County, Colorado",BACA,Lower Than State Average
819,08019014700,436.94,345.63,528.26,630.47,627.45,633.48,"Census Tract 147, Clear Creek County, Colorado",CLEAR CREEK,Lower Than State Average
820,08019014800,112.26,53.17,193.14,630.47,627.45,633.48,"Census Tract 148, Clear Creek County, Colorado",CLEAR CREEK,Lower Than State Average
821,08119010202,,,,630.47,627.45,633.48,"Census Tract 102.02, Teller County, Colorado",TELLER,No Events or Data Suppressed
822,08119010201,251.98,145.46,358.5,630.47,627.45,633.48,"Census Tract 102.01, Teller County, Colorado",TELLER,Lower Than State Average
823,08119010105,384.93,307.66,462.2,630.47,627.45,633.48,"Census Tract 101.05, Teller County, Colorado",TELLER,Lower Than State Average
824,08119010104,475.32,332.28,618.36,630.47,627.45,633.48,"Census Tract 101.04, Teller County, Colorado",TELLER,Lower Than State Average
825,08119010103,456.88,378.73,535.03,630.47,627.45,633.48,"Census Tract 101.03, Teller County, Colorado",TELLER,Lower Than State Average
826,08119010106,282.31,206.87,357.74,630.47,627.45,633.48,"Census Tract 101.06, Teller County, Colorado",TELLER,Lower Than State Average
827,08061960100,243.71,129.23,358.2,630.47,627.45,633.48,"Census Tract 9601, Kiowa County, Colorado",KIOWA,Lower Than State Average
828,08031006804,547.94,375.28,720.6,630.47,627.45,633.48,"Census Tract 68.04, Denver County, Colorado",DENVER,Not Different Than State Average
829,08031006701,453.58,312.28,594.88,630.47,627.45,633.48,"Census Tract 67.01, Denver County, Colorado",DENVER,Lower Than State Average
830,08031006809,736.73,638.45,835,630.47,627.45,633.48,"Census Tract 68.09, Denver County, Colorado",DENVER,Higher Than State Average
831,08031006812,497.98,396,599.96,630.47,627.45,633.48,"Census Tract 68.12, Denver County, Colorado",DENVER,Lower Than State Average
832,08031004004,560.05,386.46,733.64,630.47,627.45,633.48,"Census Tract 40.04, Denver County, Colorado",DENVER,Not Different Than State Average
833,08031004003,667.9,545,790.8,630.47,627.45,633.48,"Census Tract 40.03, Denver County, Colorado",DENVER,Not Different Than State Average
834,08031006901,1003.16,871.67,1134.64,630.47,627.45,633.48,"Census Tract 69.01, Denver County, Colorado",DENVER,Higher Than State Average
835,08031002901,363.31,258.96,467.66,630.47,627.45,633.48,"Census Tract 29.01, Denver County, Colorado",DENVER,Lower Than State Average
836,08031002802,582.45,437.03,727.88,630.47,627.45,633.48,"Census Tract 28.02, Denver County, Colorado",DENVER,Not Different Than State Average
837,08031002801,357.07,223.59,490.55,630.47,627.45,633.48,"Census Tract 28.01, Denver County, Colorado",DENVER,Lower Than State Average
838,08031002803,515.48,405.98,624.98,630.47,627.45,633.48,"Census Tract 28.03, Denver County, Colorado",DENVER,Lower Than State Average
839,08031005503,880.42,760.79,1000.05,630.47,627.45,633.48,"Census Tract 55.03, Denver County, Colorado",DENVER,Higher Than State Average
840,08031005502,847.1,658.07,1036.12,630.47,627.45,633.48,"Census Tract 55.02, Denver County, Colorado",DENVER,Higher Than State Average
841,08031007013,482.07,374.32,589.83,630.47,627.45,633.48,"Census Tract 70.13, Denver County, Colorado",DENVER,Lower Than State Average
842,08031005002,1020.17,909.46,1130.88,630.47,627.45,633.48,"Census Tract 50.02, Denver County, Colorado",DENVER,Higher Than State Average
843,08031005001,577.12,453.93,700.32,630.47,627.45,633.48,"Census Tract 50.01, Denver County, Colorado",DENVER,Not Different Than State Average
844,08031005102,666.22,545.78,786.66,630.47,627.45,633.48,"Census Tract 51.02, Denver County, Colorado",DENVER,Not Different Than State Average
845,08031005300,815.44,578.36,1052.51,630.47,627.45,633.48,"Census Tract 53, Denver County, Colorado",DENVER,Not Different Than State Average
846,08031004801,793.22,654.59,931.84,630.47,627.45,633.48,"Census Tract 48.01, Denver County, Colorado",DENVER,Higher Than State Average
847,08031001402,1055.83,896.04,1215.62,630.47,627.45,633.48,"Census Tract 14.02, Denver County, Colorado",DENVER,Higher Than State Average
848,08031001401,771.24,674.24,868.25,630.47,627.45,633.48,"Census Tract 14.01, Denver County, Colorado",DENVER,Higher Than State Average
849,08031001302,694.94,570.1,819.78,630.47,627.45,633.48,"Census Tract 13.02, Denver County, Colorado",DENVER,Not Different Than State Average
850,08031001301,832.49,709.58,955.41,630.47,627.45,633.48,"Census Tract 13.01, Denver County, Colorado",DENVER,Higher Than State Average
851,08031005104,841.71,703.42,980,630.47,627.45,633.48,"Census Tract 51.04, Denver County, Colorado",DENVER,Higher Than State Average
852,08031004303,489.59,378.45,600.73,630.47,627.45,633.48,"Census Tract 43.03, Denver County, Colorado",DENVER,Lower Than State Average
853,08031004002,465.03,352.79,577.27,630.47,627.45,633.48,"Census Tract 40.02, Denver County, Colorado",DENVER,Lower Than State Average
854,08031004005,690.43,523.29,857.57,630.47,627.45,633.48,"Census Tract 40.05, Denver County, Colorado",DENVER,Not Different Than State Average
855,08031003902,366.51,289.23,443.79,630.47,627.45,633.48,"Census Tract 39.02, Denver County, Colorado",DENVER,Lower Than State Average
856,08031003004,528.47,424.68,632.25,630.47,627.45,633.48,"Census Tract 30.04, Denver County, Colorado",DENVER,Not Different Than State Average
857,08031004603,804.95,695.79,914.12,630.47,627.45,633.48,"Census Tract 46.03, Denver County, Colorado",DENVER,Higher Than State Average
858,08031004601,753.01,650.31,855.7,630.47,627.45,633.48,"Census Tract 46.01, Denver County, Colorado",DENVER,Higher Than State Average
859,08031000903,878.56,768.16,988.97,630.47,627.45,633.48,"Census Tract 9.03, Denver County, Colorado",DENVER,Higher Than State Average
860,08031006810,671.3,576.44,766.15,630.47,627.45,633.48,"Census Tract 68.10, Denver County, Colorado",DENVER,Not Different Than State Average
861,08031012001,1092.42,839.37,1345.47,630.47,627.45,633.48,"Census Tract 120.01, Denver County, Colorado",DENVER,Higher Than State Average
862,08031012010,502.67,412.5,592.84,630.47,627.45,633.48,"Census Tract 120.10, Denver County, Colorado",DENVER,Lower Than State Average
863,08031012014,650.01,542.5,757.51,630.47,627.45,633.48,"Census Tract 120.14, Denver County, Colorado",DENVER,Not Different Than State Average
864,08031004700,744.71,645.1,844.32,630.47,627.45,633.48,"Census Tract 47, Denver County, Colorado",DENVER,Higher Than State Average
865,08031001000,2179.81,1957.16,2402.46,630.47,627.45,633.48,"Census Tract 10, Denver County, Colorado",DENVER,Higher Than State Average
866,08031011903,519.81,388.5,651.11,630.47,627.45,633.48,"Census Tract 119.03, Denver County, Colorado",DENVER,Not Different Than State Average
867,08031004404,1045.11,908.56,1181.65,630.47,627.45,633.48,"Census Tract 44.04, Denver County, Colorado",DENVER,Higher Than State Average
868,08031004403,1263.57,1094.38,1432.75,630.47,627.45,633.48,"Census Tract 44.03, Denver County, Colorado",DENVER,Higher Than State Average
869,08031004304,577.93,489.28,666.58,630.47,627.45,633.48,"Census Tract 43.04, Denver County, Colorado",DENVER,Not Different Than State Average
870,08031004302,462.12,337.73,586.51,630.47,627.45,633.48,"Census Tract 43.02, Denver County, Colorado",DENVER,Lower Than State Average
871,08031004202,561.59,446.08,677.1,630.47,627.45,633.48,"Census Tract 42.02, Denver County, Colorado",DENVER,Not Different Than State Average
872,08031004104,1170,976.74,1363.27,630.47,627.45,633.48,"Census Tract 41.04, Denver County, Colorado",DENVER,Higher Than State Average
873,08031004301,1010.37,855.24,1165.5,630.47,627.45,633.48,"Census Tract 43.01, Denver County, Colorado",DENVER,Higher Than State Average
874,08031004201,621.77,493.84,749.7,630.47,627.45,633.48,"Census Tract 42.01, Denver County, Colorado",DENVER,Not Different Than State Average
875,08031003703,595.99,420.24,771.75,630.47,627.45,633.48,"Census Tract 37.03, Denver County, Colorado",DENVER,Not Different Than State Average
876,08031003300,491.77,386.7,596.84,630.47,627.45,633.48,"Census Tract 33, Denver County, Colorado",DENVER,Lower Than State Average
877,08031004103,749.34,642.41,856.27,630.47,627.45,633.48,"Census Tract 41.03, Denver County, Colorado",DENVER,Higher Than State Average
878,08031003003,501.34,278.25,724.42,630.47,627.45,633.48,"Census Tract 30.03, Denver County, Colorado",DENVER,Not Different Than State Average
